write,1,poll,1,0,1,0,1,0,1,2,64978,48688,27664,51636,30374,44291,57763,53903,31739,30974,15,63504,0,43796,1,1,0,1,815,58637.58
writev,0,linux-sysepoll,1,1,1,0,1,0,1,2,26888,41197,9080,53674,15906,33071,3298,51470,406,45008,2,24907,1,7302,1,0,0,0,643,56540.86
writev,0,libev,0,1,0,0,0,1,1,2,3108,38232,55837,58042,29021,1409,40018,34991,44504,43098,5,14278,0,50843,0,0,1,0,174,11629.82
write,1,poll,1,0,1,1,0,0,0,1,27222,23683,5842,7464,991,52874,9077,2272,27442,36797,7,24637,1,64299,1,0,1,1,172,15081.5
writev,1,poll,0,0,1,1,1,0,1,1,42832,38725,23577,16244,13270,41430,5254,61397,65236,37852,11,260,1,60516,1,1,0,1,1387,12552.51
write,1,linux-sysepoll,1,0,1,0,1,1,1,1,1408,16766,17191,8469,4234,43331,29432,10789,24403,26726,12,31735,1,40682,0,1,0,0,1101,69795.4
writev,0,poll,1,0,1,0,0,0,1,1,1408,16766,19486,64869,4234,10355,29432,19050,24403,13399,12,31735,0,40682,0,1,0,0,169,13918.51
writev,0,linux-sysepoll,0,0,1,1,0,0,1,0,27222,23683,5842,7464,991,52874,5254,56542,61657,62828,11,260,1,60516,1,1,0,1,1387,68462.15
write,1,linux-sysepoll,1,0,1,0,1,1,1,0,42832,58402,23577,56998,13270,41430,9077,33452,27442,36797,7,24637,1,64299,1,0,1,0,2005,71198.89
write,1,linux-sysepoll,1,0,1,0,1,0,1,1,1408,16766,64960,8469,4234,43726,29432,10789,24403,13399,12,31735,1,40682,0,1,0,0,191,69795.4
writev,0,poll,1,0,1,0,0,0,1,1,1408,16766,19486,7464,991,52874,9077,39434,27442,36797,7,24637,1,64299,1,1,1,1,2053,11222.39
sendfile,1,poll,1,0,1,0,1,0,1,0,42832,50410,23577,56998,30341,41430,5254,56542,63133,37852,11,260,0,60516,1,1,0,1,1387,31723.9
write,1,linux-sysepoll,0,0,1,1,0,0,1,2,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,191,69795.4
writev,1,poll,1,1,1,0,0,0,1,0,42832,38725,23577,16244,13270,41430,1969,56542,62651,13399,12,31735,0,40682,0,1,0,0,169,10361.83
write,1,linux-sysepoll,1,0,1,1,1,0,1,1,1408,16766,19486,8469,4234,54887,29432,10789,54829,2412,11,260,1,60516,0,1,0,0,1387,69795.4
write,0,linux-sysepoll,1,1,0,1,1,0,1,2,24232,41197,9080,53674,15906,1409,40018,34991,14764,43098,5,14278,1,64299,1,1,1,1,172,72887.09
writev,0,linux-sysepoll,0,0,1,1,0,1,1,1,27222,23683,7217,7464,991,52874,9077,33452,27442,36797,7,51888,0,50843,0,0,1,0,174,12488.87
writev,0,poll,1,0,1,0,0,0,1,1,29488,16766,19486,8469,4234,22852,16189,31926,50095,58559,1,42345,1,45525,1,1,1,0,165,13331.14
writev,0,select,0,1,0,0,1,0,2,0,35960,25972,1355,44646,15205,43331,29432,10789,24403,13399,12,31735,1,60198,0,1,0,0,191,57110.93
writev,1,libev,0,0,0,1,1,1,0,2,21433,38232,10681,47853,29021,41311,3298,51470,15044,45008,2,24907,1,7302,1,0,0,1,191,74484.03
write,1,linux-sysepoll,1,0,1,1,1,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,15,31735,1,40682,0,1,0,1,643,69795.4
write,1,linux-sysepoll,1,0,1,0,1,0,1,0,42832,38725,23577,56998,13270,41430,5254,56542,63133,13399,12,31735,1,40682,0,1,1,1,191,69795.4
writev,1,select,1,1,1,0,0,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,37852,11,260,1,60516,1,1,0,1,1387,11776.49
writev,0,linux-sysepoll,0,0,0,0,1,0,0,0,35960,25972,1355,44646,15205,22852,16189,31926,50095,58559,14,42345,0,45525,0,0,0,0,165,50536.79
write,1,libev,1,0,1,1,1,0,1,1,42832,38725,23577,16244,13270,41430,5254,56542,65236,970,11,260,1,60516,1,1,0,0,1387,71772.02
write,0,linux-sysepoll,1,0,1,1,1,0,1,1,1408,16766,19486,8890,11749,43331,29432,10789,24403,13399,2,39758,1,40682,0,1,1,1,191,69795.4
write,1,linux-sysepoll,1,1,1,0,1,0,1,1,1408,16766,64960,8469,4234,43726,29432,10789,24403,13399,12,31735,0,40682,0,1,0,0,643,69795.4
write,0,linux-sysepoll,1,1,0,1,1,0,1,2,24232,41197,49143,53674,15906,1409,40018,4570,15044,45008,2,17684,1,53551,1,0,0,0,191,59713.12
sendfile,1,linux-sysepoll,0,0,0,1,1,1,0,2,21433,38232,10681,47853,29021,62798,3298,34991,14764,43098,5,14278,1,64299,1,0,1,1,172,67221.46
write,1,linux-sysepoll,1,0,1,0,1,0,1,1,1408,16766,19486,8469,4234,43331,37605,10789,24403,13399,12,31735,1,40682,1,1,0,0,191,69795.4
write,1,linux-sysepoll,1,1,1,0,1,0,1,1,1408,16766,64960,8469,4234,43726,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,191,69795.4
write,1,linux-sysepoll,0,0,1,1,1,0,1,0,42832,38725,23577,56998,17691,41430,5254,56542,63133,24159,9,31735,1,40682,0,1,1,1,191,69962.9
write,1,linux-sysepoll,1,1,1,1,1,0,1,1,1408,16766,19486,8469,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,1,643,69795.4
write,0,linux-sysepoll,1,1,1,1,1,0,1,0,24232,16766,19486,8469,4234,43331,29432,27194,24403,13399,15,64306,1,40682,0,0,0,1,643,44840.58
write,1,linux-sysepoll,1,0,1,1,1,0,1,1,1408,41197,9080,53674,4443,1409,40018,34991,14764,53782,5,14278,1,64299,1,1,1,1,172,67641.8
write,0,linux-sysepoll,1,1,0,1,1,0,1,2,24232,41197,9080,53674,15906,1409,8863,31926,50095,58559,14,42345,1,45525,1,0,1,0,165,76349.23
writev,0,select,0,0,0,0,1,0,0,0,35960,29350,1355,44646,15566,22852,40018,34991,14764,43098,2,14278,1,64299,1,1,1,1,1836,69544.26
write,0,linux-sysepoll,1,0,1,0,1,0,1,1,42832,38725,23577,16244,13270,41430,5254,56542,65236,37852,11,260,1,60516,1,1,0,0,1387,15230.02
write,1,libev,0,0,1,1,1,0,1,1,1408,16766,64960,8469,4234,43726,29432,10789,24403,13399,15,31735,0,40682,0,1,0,0,191,51307.08
write,1,libev,1,0,0,1,1,0,0,1,42832,41169,23577,16244,13270,41430,5254,56542,65236,37852,11,260,1,60516,1,1,1,0,1387,62165.5
write,0,linux-sysepoll,1,0,1,0,1,0,0,1,30249,16766,49536,8469,4234,43726,29432,10789,24403,13399,12,31735,1,40682,1,1,0,0,191,69795.4
write,1,linux-sysepoll,0,0,1,0,1,0,0,0,1408,16766,19486,44646,4234,43331,29432,10789,24403,13399,12,31735,1,40682,0,1,0,0,1658,69795.4
writev,1,select,1,0,0,1,0,0,1,1,42832,38725,23577,56998,13270,41430,5254,56542,63133,13399,12,31735,1,40682,1,0,1,1,191,10698.73
