cfg_1,cfg_2,cfg_3,cfg_4,cfg_5,cfg_6,cfg_7,cfg_8,cfg_9,cfg_10,cfg_11,cfg_12,cfg_13,cfg_14,cfg_15,cfg_16,cfg_17,cfg_18,cfg_19,cfg_20,throughput
532,669445715,676,520988451,40796528,745359843,81654,591411650,2,53,14342480105,21008,1745018606,66,33350922,noblob,2650,21878987,81,605545,352.01
471,908474474,2546,864410533,54808669,972981297,85676,433009432,2,61,13845276648,26604,855188417,63,36056247,noblob,2650,21878987,77,605545,299.81
943,908474474,676,864410533,43534203,419579828,49882,687909604,2,37,14758161539,26604,1745018606,66,33350922,minimal,2531,21878987,38,372751,359.24
471,908474474,676,864410533,24959271,419579828,43000,497476465,2,53,14342480105,18305,3380226885,66,26731669,noblob,2650,49656512,56,20948,341.49
64,491049492,440,1001950780,58458902,252569943,85676,687909604,2,35,13682232601,26604,2963759376,66,33350922,minimal,3627,65288091,77,605545,369.47
471,533501151,676,864410533,41709086,321421267,85676,687909604,2,44,14342480105,21822,1297889342,66,33350922,noblob,2753,21878987,77,278397,358.5
64,491049492,1447,1001950780,55721228,319906497,85676,687909604,2,51,13682232601,26604,2498859528,66,28530133,minimal,3627,65288091,77,605545,301.29
471,306932712,3021,795640410,43534203,419579828,85676,687909604,0,62,14342480105,26604,1135648221,66,33350922,minimal,2162,21878987,77,605545,299.34
64,491049492,558,589758574,48258878,661854900,85676,591411650,2,35,13682232601,21008,2354388991,66,33350922,minimal,3139,65288091,77,605545,359.94
471,908474474,3140,726870287,36071853,419579828,85676,687909604,2,71,14672603857,26604,526277836,66,33350922,noblob,2650,21878987,77,605545,298.84
267,699761983,440,933180656,58458902,10294870,85676,687909604,2,47,14012356353,26268,2728317526,66,30520027,minimal,3139,65288091,77,656563,362.21
940,491049492,1572,1001950780,58458902,232797899,116509,616691485,2,35,13266551167,26604,1580090593,24,33350922,minimal,4928,72637493,77,251231,307.13
64,282648012,440,448804811,58458902,366380670,73832,360133459,2,33,13600710578,17672,2963759376,66,79768193,minimal,3627,65288091,77,410942,362.3
64,244622726,440,446327833,36690017,252569943,85676,687909604,1,35,12334084868,26604,1067744794,66,33350922,minimal,6030,65288091,95,488724,328.74
817,570915364,1360,301972716,115003396,854962008,26817,40110746,0,79,15229143108,16300,1328951569,65,36721486,minimal,3005,119640444,19,981261,322.6
817,570915364,1360,382769173,115003396,854962008,43712,75940734,0,50,12991410821,19305,2664221900,65,23256985,minimal,3005,76151868,19,981261,326.65
890,375648294,1360,382769173,115003396,527532605,43712,558836254,0,43,12991410821,21956,2664221900,65,23256985,minimal,3464,76151868,19,981261,336.07
890,375648294,995,297860271,86379322,527532605,19007,558836254,0,43,12991410821,21956,2664221900,65,48826480,minimal,3464,76151868,19,851535,342.58
890,766182434,1725,382769173,115003396,447756401,34628,245728517,0,70,14180807739,21956,2599174788,74,23256985,minimal,3464,131812539,74,981261,319.91
890,375648294,1543,384825396,86379322,691247306,19007,558836254,0,61,12991410821,19128,1996586735,65,17204488,minimal,3234,76151868,19,851535,327.87
927,278014760,995,338258499,115003396,363817904,43712,558836254,0,25,11872544678,21956,2664221900,65,42094230,minimal,3464,76151868,19,851535,346.43
890,375648294,995,297860271,129315433,527532605,19007,558836254,0,43,12991410821,21956,2664221900,65,10472237,minimal,3464,76151868,19,851535,343.05
909,326831527,1360,402968288,129315433,527532605,56065,558836254,0,43,12991410821,21956,2664221900,65,19890860,minimal,3464,76151868,19,981261,322.31
