id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1099,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,3,0,-3,44.34358179869584,5:5,none,1,449,2,tesa,40,0,0,none,1,baseline,0.9290259596947192,31,6,39,15,87,3,37,2,1,1,68.45
1735,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,0,4,38.632211284256606,4:-4,auto,1,268,2,umh,10,1,0,vbr,0,baseline,0.8264614212937585,33,20,39,16,90,3,41,0,1,1,3.59
1937,0,"p8x8,b8x8,i8x8,i4x4",3,1.831088268337472,0,16,1,9,32.33306222170616,5:5,spatial,0,5,1,tesa,20,0,0,none,0,baseline,0.404552170659565,21,16,244,16,49,3,20,1,1,1,3.59
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,7,0,11,38.632211284256606,3:-3,auto,1,157,1,tesa,28,1,0,none,0,baseline,0.5953676782928479,36,16,39,16,90,3,41,1,1,1,3.59
792,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,2,14,0,9,20.41563463271659,5:5,none,1,5,3,tesa,10,0,0,vbr,0,baseline,0.4065850320064938,33,20,241,16,18,2,45,2,0,1,3.59
2289,0,all,3,0.8462092329152875,1,16,0,11,38.632211284256606,4:-4,auto,1,268,3,hex,38,0,0,vbr,0,baseline,0.6808282990153035,46,11,144,9,92,2,5,1,1,1,3.59
1937,0,"p8x8,b8x8,i8x8,i4x4",1,0.9574783542099868,0,14,0,9,5.634771623297636,5:5,auto,0,5,3,tesa,29,0,0,none,0,baseline,0.7391881459899919,21,16,205,16,49,3,20,2,1,1,3.59
1766,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,3,0,11,16.159492446726667,5:5,none,1,449,3,tesa,40,1,0,none,1,baseline,0.9290259596947192,49,6,39,16,49,3,41,0,1,1,3.59
1766,0,"p8x8,b8x8,i8x8,i4x4",3,1.1345191072517689,1,3,0,9,16.159492446726667,5:5,none,1,449,3,tesa,40,0,0,none,1,baseline,0.9290259596947192,38,6,39,16,49,3,41,0,1,1,3.59
1937,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,16,1,8,38.632211284256606,4:-4,auto,0,449,3,tesa,40,0,0,none,1,main,0.9290259596947192,49,6,39,16,49,3,41,0,1,1,133.49
1766,0,"p8x8,b8x8,i8x8,i4x4",3,0.8462092329152875,1,3,0,9,16.159492446726667,5:5,none,1,268,3,hex,38,1,0,vbr,0,baseline,0.6808282990153035,25,11,144,9,92,9,5,1,1,2,7.15
